[ 2.03378593  0.88725448  0.05113915  0.1723552  -1.44996472  0.54878438
 -0.64183534  0.41076715  1.76638656 -1.07381735 -1.94047548  0.01970831] [ 2.0967682   0.92338179 -0.03589864  0.05940797 -1.23310705  0.58400901
 -0.85542518  0.13050931  2.00477225 -0.92565259 -2.29527884  0.05328424] [ 2.19427948  0.80474241  0.041184   -0.07898148 -0.96618442  0.64463173
 -1.29763181  0.37543629  1.99440187 -1.14341416 -2.09236728 -0.09074812] [ 1.73969985  0.85865476 -0.09652006  0.12782478 -0.8827862   0.4331889
 -1.42177935  0.22330391  1.96828682 -1.21502072 -1.91005001  0.09316301] [ 1.78824429  0.70191991 -0.16475737  0.10105227 -0.93259105  0.71249067
 -1.1725664   0.20775939  1.75358737 -1.45365791 -1.97600088  0.21703256] [ 1.6723971   0.61990627 -0.16851215  0.11545667 -1.0688001   1.22811649
 -1.04112554  0.22764129  1.5447895  -1.56618616 -1.85566103  0.12248217] [ 1.57536155  0.55792189 -0.31035311  0.14202326 -0.91128539  1.19642086
 -1.17710611  0.25794991  1.38703395 -1.51297513 -1.61857587 -0.03259583] [ 1.58748023  0.52329754 -0.38083996  0.36860738 -0.94477845  1.39173961
 -1.28584219  0.16200713  1.20017528 -1.36232172 -1.36024102 -0.04178355] [ 1.51314208  0.43901923 -0.22305614  0.49467448 -1.0380938   1.59421736
 -1.1819187  -0.09303866  0.9861363  -1.49492169 -0.93741816  0.35836818] [ 1.53544578  0.06935717 -0.22026497  0.60141478 -0.69568361  1.73456929
 -1.51424192 -0.1564537   0.97230379 -1.33811078 -0.8150916   0.12583741] [ 1.31489609  0.01655415 -0.37958726  0.78202053 -0.42430962  1.7975625
 -1.50534234 -0.36594364  0.79090462 -1.0917254  -0.77825538  0.13573851] [ 1.02961502  0.2134651  -0.67454349  0.93630155 -0.20017294  1.82051287
 -1.50472216 -0.57266765  0.67156796 -1.24534639 -0.51501517  0.42991792] [ 0.8816072   0.15184624 -0.72035845  0.96000492 -0.00255872  1.70085964
 -1.24536927 -0.74238317  0.53879828 -1.20646009 -0.43554643  0.34891393] [ 0.72259414  0.13910429 -0.82727664  1.18601377  0.02920283  1.58033307
 -1.24291336 -0.96335631  0.74618466 -0.9837041  -0.53552753  0.04514699] [ 0.64129237  0.1484109  -1.06781847  1.42044236  0.27957585  1.31009738
